name,gender,langage,frequency,translated_name
elizabeth,f,"english, biblical",0.45,إليزابيث
elizaveta,f,russian,0,إليزافيتا
elkan,m,jewish,0,الكان
elkanah,m,biblical,0,الكانا
elke (1),f,"dutch, frisian",0,إلك (1)
elke (2),f,jewish,0,إلك (2)
ella,f,english,0.06,ايلا
ellar,m,scottish,0,Ellar
elle,f,english,4870.31,إيلي
ellen,f,english,0.41,إلين
ellery,"m,f",english,0.06,ellery
elli (1),f,german,0,إيلي (1)
elli (2),f,finnish,0,إيلي (2)
ellie,f,english,0,إيلي
elliot,m,english,0.19,إليوت
elliott,m,english,0.19,إليوت
ellis (1),m,english,0,إليس (1)
ellis (2),m,welsh,0,إليس (2)
elly,f,english,0,إيلي
elma,f,,0,إلما
elmas,f,turkish,0,إلاس
elmer,m,english,0.1,إلمر
elmira,f,english,0.06,الميرا
elmo,m,italian,0,إلمو
elnathan,m,biblical,0,إلناثان
elnora,f,english,0,elnora
elodia,f,spanish,0,إلوديا
élodie,f,french,4.84,إيلودي
elof,m,swedish,0,elof
eloi,m,french,0,إلوي
eloisa,f,"italian, spanish",0,Eloisa
éloise,f,french,0,éloise
eloise,f,english,0,إلويز
elouise,f,english,0,elouise
elov,m,swedish,0,إلوف
eloy,m,spanish,0,إلوي
elpida,f,greek,0,إلبيدا
elpidio,m,"italian, spanish, portuguese",0,Elpidio
elpidius,m,late roman,0,Elpidius
elpis,f,ancient greek,0,إلبيس
elric,m,english,0,إلريك
elrond,m,literature,0,Elrond
elroy,m,english,0,إلروي
elsa,f,"english, german, swedish",5.51,إلسا
elsabeth,f,,0,إلسابيث
elsdon,m,english,0,إلسدون
else,f,"danish, norwegian, german",0.16,آخر
elsie,f,english,0.03,إلسي
elspet,f,"english, scottish",0,Elspet
elspeth,f,"english, scottish",0,إيلبيث
elton,m,english,0.16,التون
eluf,m,danish,0,إلوف
eluned,f,welsh,0,مرمى
elva,f,,0,إلفا
elvin,m,english,0,إلفين
elvina,f,,0,إلفينا
elvira,f,spanish,0,إلفيرا
elvis,m,english,0.83,إلفيس
elwin,m,english,0.03,إلوين
elwood,m,english,0,إلوود
elwyn,m,english,0,إلوين
ely,m,,0.1,إيلي
elyse,f,,0,إليس
elysia,f,,0.03,elysia
elzbieta,f,polish,0.45,Elzbieta
em,f,english,0.54,م
emánuel,m,hungarian,0,emánuel
emanuel,m,scandinavian,0.03,إيمانويل
emanuele,m,italian,0,إيمانويل
emel,f,turkish,0,إميل
emelie,f,swedish,0,إميلي
emelina,f,"english, spanish",0,إميلينا
emeline,f,french,0,ايملين
emely,f,english,0,إيميلي
emer,f,"irish, irish mythology",0,إمير
emerald,f,english,0,زمرد
emeric,m,,0,emeric
emerson,m,english,0.38,إيمرسون
emery,m,english,0.03,إيمري
emi,f,japanese,0.16,emi
emidio,m,italian,0,إميديو
emil,m,"german, scandinavian, czech, hungarian, romanian",0.29,إميل
émile,m,french,12.14,émile
emilee,f,english (modern),0,إميلي
emilia,f,"italian, spanish, portuguese, romanian",0,إميليا
emilian,m,,0,إميليان
emiliana,f,"italian, spanish, portuguese",0,إميليانا
emiliano,m,"spanish, italian",0.13,إميليانو
émilie,f,french,0.7,émilie
emilie,f,german,0.1,إميلي
émilien,m,french,0.03,émilien
emilio,m,"italian, spanish, portuguese",0.06,إميليو
emily,f,english,0.25,إميلي
emine,f,turkish,0,Emine
emlyn,m,welsh,0,إميلين
emma,f,"english, french, italian",1.21,إيما
emmaline,f,english,0,emmaline
emmanouil,m,greek,0,إيمانويل
emmanuel,m,"biblical, french, english",2.61,إيمانويل
emmanuelle,f,french,0.06,إيمانويل
emmeline,f,english,0,إيميلين
emmerich,m,german,0.03,ايمميرش
emmerson,m,english,0,إيمرسون
emmet,m,english,0,emmet
emmett,m,english,0.03,إيميت
emmie,f,english,0,إيمي
emmy,f,english,0.03,إيمي
emory,m,english,0,إيموري
emrys,m,welsh,0,emrys
emyr,m,welsh,0,إمير
ena,f,irish,0.67,ena
encarnacion,f,spanish,0.06,Encarnacion
endre,m,hungarian,0,Endre
enéas,m,portuguese,0,enéas
enfys,"m,f",welsh,0,enfys
engel,m,german,0.22,إنجل
engelbert,m,german,0.1,إنجلبرت
engin,m,turkish,8.73,إنجن
enid,f,"welsh, welsh mythology",0,enid
eniola,m,african,0,eniola
enitan,m,african,0,إنيون
ennio,m,italian,0,ennio
ennis,"f,m",irish,0.1,إينيس
enoch,m,biblical,0.06,اينوك
enok,m,scandinavian,0,enok
enola,f,english,0,enola
enos,m,biblical (variant),0,enos
enosh,m,biblical,0,enosh
enric,m,catalan,0,enric
enrica,f,italian,0,enrica
enrico,m,italian,1.02,enrico
enrique,m,spanish,0.03,إنريكي
enu,"m,f",african,0,enu
enya,f,irish,0,إنيا
enyo,f,greek mythology,0,إنيو
enzo,m,italian,0.06,إنزو
eoforhild,f,anglo-saxon,0,eoforhild
eoghan,m,"irish, scottish",0,eoghan
eoin,m,"irish, scottish",0,eoin
eos,f,greek mythology,0,EOS
eowyn,f,literature,0,إيوين
epaphras,m,"biblical, ancient greek",0,epaphras
epaphroditos,m,ancient greek,0,epaphroditos
ephraim,m,"biblical, jewish",0,إفرايم
epifanio,m,spanish,0,epifanio
epiktetos,m,ancient greek,0,epiktetos
epiphany,f,english,0,عيد الغطاس
epona,f,celtic mythology,0,إبونا
eppie,f,english,0,إبي
era,f,,0.22,حقبة
eran,m,biblical,0,إيران
erasmus,m,,0.03,إراسموس
erastus,m,biblical,0,إراستوس
erato,f,greek mythology,0.06,إراتو
ercole,m,italian,0.03,ercole
ercwlff,m,welsh,0,ercwlff
erdem,m,turkish,0,erdem
erdmann,m,german,0,أردمان
erebus,m,greek mythology (latinized),0.06,rebus
eren,m,turkish,0,إرين
erez,m,jewish,0,erez
erhard,m,german,0,إرهارد
eric,m,"english, french",0.51,إريك
erica,f,english,0,إيريكا
erich,m,german,0.51,إريك
erick,m,english,0,إريك
ericka,f,english,0,إريكا
erik,m,"scandinavian, czech",0.32,إريك
erika,f,"german, scandinavian, hungarian, czech",0.1,إريكا
erin,f,"english, irish",0.03,إيرين
eris,f,greek mythology,0.06,إيريس
erishkigal,f,near eastern mythology,0,erishkigal
erkki,m,finnish,0,إركي
erland,m,"swedish, danish",0.03,إيرلاند
erle,m,english,0,erle
erlend,m,"norwegian, danish",0.89,erlend
erma,f,,0,إرما
ermanno,m,italian,0,إرمانو
ermenegilde,m,french,0,ermenegilde
ermenegildo,m,italian,0,Ermenegildo
ermentraud,f,german,0,ermentraud
ermentraude,f,german,0,ermentraude
ermete,f,italian,0,ermete
ermintrude,f,english,0,ermintrude
ermolai,m,russian,0,إرمولاي
ermtraud,f,german,0,ermtraud
ern,m,english,0,إرن
erna,f,german,0.03,إرنا
ernest,m,english,6.5,إرنست
ernesta,f,"italian, spanish, english",0,إرنستا
ernestine,f,english,0.19,إرنستين
ernesto,m,"italian, spanish, portuguese",0,مرحبا
ernie,m,english,0,إرني
ernõ,m,hungarian,0,إيه لا
ernst,m,"german, dutch",2.13,إرنست
eros,m,greek mythology,0.32,eros
errol,m,english,0.06,إيرول
erskine,m,"scottish, irish, english",0.13,إرسكين
ervin,m,hungarian,0.03,ervin
ervins,m,latvian,0,ervins
erwan,m,breton,0,إروان
erwin,m,german,0.03,إروين
erykah,f,english (modern),0,erykah
eryn,f,english,0,إرين
erzsébet,f,hungarian,0,إرزسيت
erzsi,f,hungarian,0,إرزي
esa,m,finnish,0.06,ESA
esaias,m,biblical,0,eSaias
esau,m,biblical,0.03,عيسو
esdras,m,biblical,0.06,إسدراس
eseld,f,cornish,0,عسل
eser,"f,m",turkish,0,ESER
eshe,f,african,0,إيش
esi,f,african,0,ESI
esin,f,turkish,0,إيسين
esmail,m,indian,0,عسميل
esmaralda,f,english,0,إسمارالدا
esmé,"m,f",french,0,esmé
esmée,f,french,0.96,esmée
esmeralda,f,"spanish, english",0.16,إيسميرالدا
esmond,m,english,0.03,إسموند
esmund,m,english,0,إسموند
esperanta,f,esperanto,0,إسبيرانتا
esperanza,f,spanish,0,إسبيرانزا
espiridion,m,spanish,0,espiridion
essa,f,,0,إيسا
essence,f,english,38.52,جوهر
essie,f,english,0,إيسي
esta,f,english,0.1,Esta
estachio,m,italian,0,الجبريت
estavan,m,spanish,0,إستافان
estéban,m,spanish,0,estéban
estee,f,,0,استي
estefanía,f,spanish,0,استيفانيا
estela,f,portuguese,0,إستيلا
estella,f,english,0,إستيلا
estelle,f,english,0.64,إستيل
ester,f,scandinavian,0.54,استر
esteri,f,finnish,0,Esteri
estevão,m,portuguese,0,Estevão
estève,m,provençal,0.16,estève
esteve,m,catalan,0,إستيف
esther,f,"english, jewish, french, biblical",3.73,استير
estrella,f,spanish,0.13,إستريلا
esyllt,f,welsh,0,esyllt
eszter,f,hungarian,0,Eszter
eszti,f,hungarian,0,Eszti
étaín,f,irish mythology,0,étaín
etel,f,hungarian,0,إتل
etelka,f,hungarian,0,إتيلكا
ethalyn,f,english,0,ethalyn
ethan,m,"jewish, english, biblical",0,إيثان
ethel,f,english,1.18,إثيل
ethelbert,m,anglo-saxon (latinized),0,إثيلبرت
etheldreda,f,anglo-saxon (latinized),0,Etheldreda
ethelinda,f,anglo-saxon,0,إثليندا
ethelred,m,anglo-saxon (latinized),0,ethelred
ethna,f,irish,0,إيثنا
ethne,f,irish,0,إيث
étienne,m,french,10.58,étienne
etna,f,irish,0.38,etna
etta,f,english,0,إيتا
ettie,f,english,0,ettie
ettore,m,italian,0.06,ettore
etzel,m,german,0.06,etzel
euan,m,scottish,0,euan
euclid,m,ancient greek (anglicized),0,إقليدس
eudocia,f,ancient greek (latinized),0,eudocia
eudora,f,english,0,يودورا
eudoxia,f,ancient greek,0,eudoxia
eufemia,f,"italian, spanish, portuguese",0.06,eufemia
eugen,m,"german, romanian",0.16,يوجين
eugène,m,french,7.2,يوجين
eugene,m,english,0,يوجين
eugênia,f,portuguese,0,Eugênia
eugenia,f,"italian, spanish, romanian, english",0.03,يوجينيا
eugénie,f,french,4.11,يوجيني
eugênio,m,portuguese,0,Eugênio
eugenio,m,"italian, spanish",6.21,يوجينيو
eula,f,english,0,تولا
eulalia,f,"english, italian, spanish",0,eulalia
eulalie,f,french,0.19,eulalie
eulia,f,,0,يوليا
eumelia,f,ancient greek,0,eumelia
eunice,f,"biblical, english, ancient greek (latinized)",0,يونيس
euphemia,f,"ancient greek, english",0,euphemia
euphranor,m,ancient greek,0,الفرات
euphrosyne,f,greek mythology,0,الفرات
euripides,m,ancient greek,0,يوربيد
eurydice,f,greek mythology (latinized),1.05,eurydice
eusebio,m,"spanish, portuguese, italian",0.03,eusebio
eusebios,m,ancient greek,0,eusebios
eusebius,m,ancient greek (latinized),0,eusebius
eustace,m,english,0,يوستاس
eustache,m,french,2.01,eustache
eustacia,f,,0,يوستاسيا
eustaquio,m,"spanish, portuguese",0,يوستاكو
eustathios,m,"greek, ancient greek",0,يوستاثيوس
euterpe,f,greek mythology,0.06,euterpe
euthalia,f,"ancient greek, greek",0,القفاز
euthymius,m,ancient greek (latinized),0,Euthymius
eutropia,f,ancient greek (latinized),0,Eutropia
eutropio,m,spanish,0,eutropio
eutropius,m,ancient greek (latinized),0,eutropius
eutychius,m,ancient greek (latinized),0,eutychius
eutychos,m,ancient greek,0,eutychos
éva,f,hungarian,1.05,éva
eva,f,"italian, spanish, portuguese, english, german, dutch, scandinavian, russian, czech",0.19,إيفا
evadne,f,greek mythology,0,إيفادن
evaline,f,english,0,evaline
evalyn,f,english,0,evalyn
evan,m,"welsh, english",0,إيفان
evander (1),m,"greek mythology (latinized), roman mythology",0,إيفاندر (1)
evander (2),m,"scottish, english",0,إيفاندر (2)
evangelina,f,"english, bulgarian",0,إيفانجيلينا
evangeline,f,english,0.06,إيفانجلين
evangelos,m,greek,0,إيفانجيلوس
évariste,m,french,0.25,évariste
evaristo,m,"spanish, italian, portuguese",0,إيفاريستو
evaristus,m,ancient greek (latinized),0,إيفاريستوس
evdokia,f,greek,0,evdokia
evdokiya,f,"russian, bulgarian",0,evdokiya
eve,f,"english, french, biblical",0.22,حواء
eveleen,f,english,0,إيفلين
eveliina,f,finnish,0,eveliina
evelina,f,"english, italian",0,إيفلينا
eveline,f,english,0,ايفلين
evelyn,"f,m",english,0.13,إيفلين
everard,m,english,0,ايفرارد
everett,m,english,0,ايفرت
everette,"m,f",english,0,ايفرت
everild,f,,0,everild
everitt,m,english,0,ايفرت
evert,m,german,0,ايفرت
evette,f,"french, english",0,إيفيت
evfemia,f,greek,0,evfemia
evfrosyne,f,greek,0,evfrosyne
evgeni,m,russian,0,evgeni
evgenia,f,greek,0,evgenia
evgeniya,f,russian,0,evgeniya
evgeny,m,russian,0,evgeny
evie,f,english,0,إيفي
évike,f,hungarian,0,évike
evita,f,spanish,0.16,إيفيتا
evonne,f,,0,إيفون
evpraksiya,f,russian,0,evpraksiya
evrard,m,french,0.06,إيفرارد
evron,m,jewish,0,إيفرون
evstathios,m,greek,0,Evstathios
evthalia,f,greek,0,evthalia
ewa,f,polish,0.35,إيوا
ewald,m,german,0.19,إيوالد
ewan,m,scottish,0.03,إيوان
ewart,m,english,0.06,ewart
ewen,m,scottish,0,إيوين
ezar,m,,0,إزار
ezekiel,m,"biblical, english",0.03,حزقيال
ezra,m,"biblical, english, jewish",0.51,عزرا
eztebe,m,basque,0,Eztebe
faas,m,dutch,0,فاش
fabia,f,"ancient roman, italian",5.03,فابيا
fábián,m,hungarian,0,فبيان
fabian,m,"english, german, dutch, polish",0.06,فابيان
fabiana,f,"italian, spanish, portuguese",0.03,فابيانا
fabiano,m,italian,3.66,فابيانو
fabien,m,french,0.32,فابيان
fabienne,f,french,2.07,فابيان
fabio,m,"italian, spanish, portuguese",0.1,فابيو
fabiola,f,"italian, french, german",0.1,فابيولا
fabius,m,ancient roman,1.08,فابيوس
fabó,m,hungarian,0,فابو
fabrice,m,french,0.92,فابريس
fabricio,m,"spanish, portuguese",0,فابريسيو
fabrizia,f,italian,0,فابريزيا
fabrizio,m,italian,4.49,فابريزيو
fachtna,m,"irish, irish mythology",0,fachtna
faddei,m,russian,0,فادي
fadi,m,arabic,0,فادي
fadia,f,arabic,0,فاديا
fadil,m,arabic,0.03,بادل
fadila,f,arabic,0,فاديلا
fadl,m,arabic,0,fadl
fae,f,english,0,فاي
fáelán,m,irish,0,فلين
fahd,m,arabic,0,فهد
fahim,m,arabic,0,فهيم
fahima,f,arabic,0,فهيما
fahmida,f,indian,0,فهيميدا
faiga,f,jewish,0,FAIGA
faigel,f,jewish,0,Faigel
fairuza,f,arabic,0,فيروزا
faith,f,english,0.1,إيمان
faithe,f,english (modern),0,الإيمان
faivish,m,jewish,0,faivish
faizel,m,arabic,0,فايزيل
fajra,f,esperanto,0,فقيرا
fakhri,m,arabic,0,فخري
fakhriyya,f,arabic,0,فخريا
falk,m,jewish,0,فالك
fancy,f,english,0.03,باهِظ
fane,m,romanian,0.51,فاني
fannie,f,english,0,فاني
fanny,f,english,1.37,فاني
faolán,m,irish,0,فولان
farag,m,arabic,0,فرج
farah,f,arabic,0.1,فرح
faraj,m,arabic,0,فاراج
faramond,m,,0,فاراموند
fardoos,f,arabic,0,فاردووس
fareed,m,indian,0,فريد
farid,m,arabic,0.89,فريد
farida,f,arabic,2.96,فريدا
fariha,f,arabic,0,فاريها
faris,m,arabic,0.03,فارس
farley,m,english,0,فارلي
faron,m,english,0.06,فارون
farooq,m,arabic,0,فاروق
farouk,m,arabic,0.54,فاروق
farquhar,m,"irish, scottish",0,Farquhar
farrah,f,arabic,0,فرح
farran,m,english,0,فاران
farrell,m,english,0.03,فاريل
faruq,m,arabic,0,فاروق
fastred,m,,0,fastrid
fathi,m,arabic,0,فاثي
fathiyya,f,arabic,0,fathiyya
fatima,f,"arabic, portuguese",0.45,فاطمة
fatin,f,arabic,0,فاتن
fatma,f,arabic,0.45,فاطمة
fauna,f,roman mythology,0.06,الحيوانات
faunus,m,roman mythology,0,فونوس
fausta,f,"italian, ancient roman",0.16,فاوستا
faustina,f,"ancient roman, italian",0.57,فوستينا
faustine,f,french,0.03,فوستين
fausto,m,"italian, spanish, portuguese",0.1,فاوستو
faustus,m,ancient roman,0.19,فاوست
fawn,f,english,0,تزلف
fawzi,m,arabic,0,فوزي
fawziyya,f,arabic,0,فوزيا
fay,f,english,0.29,فاي
faye,f,english,0.1,فاي
fayiz,m,arabic,0,فايز
fayruz,f,arabic,0,فايروز
faysal,m,arabic,0,فايسال
fayvel,m,jewish,0,فايفيل
fayza,f,arabic,0,فايزا
fearchar,m,"irish, scottish",0,Fearchar
feardorcha,m,irish,0,Feardorcha
fearghal,m,irish,0,Fearghal
fearghas,m,"irish, scottish",0,Fearghas
fechín,m,irish,0,فيشيان
fedele,m,italian,0,فيديلي
fedelma,f,irish,0,فيدلما
federica,f,italian,0,فيديريكا
federico,m,"spanish, italian",0.13,فيديريكو
federigo,m,spanish,0,فيدريغو
fedora,f,russian,0,فيدورا
fedot,m,russian,0,Fedot
fedya,m,russian,0,فيديا
feichín,m,irish,0,Feichín
feidhelm,f,irish,0,Feidhelm
feidhlim,m,irish,0,Feidhlim
feidhlimidh,m,irish,0,Feidhlimidh
feige,f,jewish,0,فيج
feivel,m,jewish,0,Feivel
felice,m,italian,0.06,فيليس
felicia,f,"ancient roman, english, italian, hungarian",0,فيليسيا
feliciana,f,"spanish, italian, ancient roman",0,فيليسينا
feliciano,m,"italian, spanish, portuguese",0,فيليسيانو
felicidad,f,spanish,0,فيليسيداد
felicidade,f,portuguese,0,فيليسيديد
félicie,f,french,0.35,félicie
felicie,f,german,0,فيليسي
felicien,m,french,0,فيليسيان
felicienne,f,french,0,فيليسيان
felìcita,f,italian,0,فيليسيتا
felicity,f,english,0,فيليسيتي
felim,m,irish,0,فيليم
felina,f,,0,فيلينا
felipa,f,"spanish, portuguese",0,فيليبا
felipe,m,"spanish, portuguese",2.45,فيليبي
feliu,m,catalan,0,فيليو
félix,m,french,6.98,فيليكس
felix,m,"english, german, romanian, ancient roman, biblical",0.48,فيليكس
femi,m,african,0,فيمي
femie,f,english,0,فيث
femke,f,dutch,0,Femke
fenella,f,scottish,0.03,فينيلا
fenton,m,english,0,فنتون
feodor,m,russian,0,فيودور
feodora,f,russian,0,فيودورا
feofilakt,m,russian,0,Feofilakt
ferapont,m,russian,0,ferapont
ferdie,m,english,0,فردي
ferdinand,m,"english, german, french, czech",5.13,فرديناند
ferdinanda,f,"italian, german, czech, english",0,فرديناندا
ferdinando,m,italian,0.06,فرديناندو
ferdy,m,english,0,فيردي
ferenc,m,hungarian,0,فيرينك
fergal,m,irish,0,فيرغال
fergie,"m,f",scottish,0,فيرغ
fergus,m,"irish, scottish",0,فيرغوس
feri,m,hungarian,0,فيري
ferko,m,hungarian,0,فيركو
fermin,m,spanish,0.03,فيرمين
fern,f,english,0,سرخس
fernand,m,french,7.58,فرناند
fernanda,f,"spanish, portuguese",0,فرناندا
fernande,f,french,1.31,فرناندي
fernando,m,"spanish, portuguese",3.03,فرناندو
fernão,m,portuguese,0,فيرنااو
ferne,f,english (modern),0.03,فيرن
feroze,m,arabic,0,فيروز
ferran,m,catalan,0,فيران
ferrer,m,,1.12,فيرير
ferruccio,m,italian,0,ferruccio
fester,m,german,0,فستر
festus,m,"ancient roman, biblical",0,Festus
ffion,f,welsh,0,ffion
ffraid,f,welsh,0,ffraid
fiachna,m,irish,0,fiachna
fiachra,m,"irish, irish mythology",0,فيتشرا
fiacre,m,french,2.23,الفاكرة عربة أجرة صغيرة
fiammetta,f,italian,0.03,فياميتا
fidan,f,turkish,0,فيدان
fidda,f,arabic,0,فيدا
fidel,m,spanish,0.13,فيدل
fidelia,f,,0,فيليا
fidelis,m,ancient roman,0.03,Fidelis
fidelma,f,irish,0,فيديلما
fido,m,english,0.03,فيدو
fiera,f,esperanto,0,فيرا
fife,m,scottish,0,فايف
fifi,f,french,3.66,فيفي
fihr,m,arabic,0,fihr
fikri,m,arabic,0,فيكي
fikriyya,f,arabic,0,Fikriyya
filander,m,,0,filander
filat,m,russian,0,Filat
filbert,m,,0,فيلبرت
filep,m,hungarian,0,Filep
filib,m,scottish,0,فيليب
filibert,m,,0.03,filibert
filiberto,m,italian,0,فيليبرتو
filip,m,"scandinavian, dutch, czech, bulgarian, polish",0,فيليب
filipa,f,"russian, polish, czech",0,فيليبا
filipe,m,portuguese,0,فيليب
filippo,m,italian,0.16,فيليبو
fillin,m,irish,0,أملأ
filomena,f,"italian, spanish, portuguese",0,Filomena
fina,f,english,0.06,فينا
finbar,m,irish,0,فينبر
findlay,m,,0,Findlay
finella,f,scottish,0,فينيلا
fingal,m,scottish,0.16,فينجال
fingall,m,scottish,0,Fingall
finlay,m,"irish, scottish",0,فينلاي
finley,m,"irish, scottish",0.03,فينلي
finn,m,irish,0.19,الفنلندي
finnbar,m,irish,0,فينبر
finnegan,m,english,0,فينيجان
finnén,m,irish,0,فين
finnguala,f,"irish, irish mythology",0,Finnguala
finnian,m,irish,0,الفنلندي
finola,f,"irish, scottish",0,فينولا
fintan,m,irish,0,فينتان
fion,m,irish,1.24,فيون
fíona,f,irish,0,فيونا
fiona,f,scottish,0,فيونا
fionn,m,"irish, irish mythology",0,فيون
fionnbharr,m,irish,0,Fionnbharr
fionnghall,m,scottish,0,Fionnghall
fionnghuala,f,"irish, irish mythology",0,Fionnghuala
fionnlagh,m,"irish, scottish",0,فيونلاغ
fionntán,m,"irish, scottish",0,فيوننتان
fionnuala,f,irish,0,Fionnuala
fionola,f,"irish, scottish",0,فيونيولا
fioralba,f,italian,0,فيورالبا
fiorella,f,italian,0.03,فيوريلا
fiorenza,f,italian,0,فيرينزا
fiorenzo,m,italian,0,فيرينزو
firdaus,m,"iranian, indian",0,Firdaus
firdos,m,indian,0,فيردوس
firenze,f,,0.06,Firenze
firmin,m,french,0.54,شركة
firmino,m,italian,0,فيرمينو
firoz,m,arabic,0,Firoz
fishel,m,jewish,0,السمك
fishke,m,jewish,0,فيشك
fitz,m,english,0.13,فيتز
fitzroy,m,english,0,فيتزروي
fizza,f,arabic,0,Fizza
flaithrí,m,irish,0,فليثري
flann,"m,f",irish,0,إطار
flannan,"m,f",irish,0,فلانان
flavia,f,"italian, ancient roman",0,فلافيا
flavian,m,,0,فلافيان
flavie,f,french,2.45,فلافي
flavio,m,"italian, spanish, portuguese",0.29,فلافيو
flavius,m,ancient roman,0.1,فلافيوس
flemming,m,danish,0.19,فليمنغ
fletcher,m,english,0.19,فليتشر
fleur,f,english,32.56,فلور
fleuretta,f,english,0,فلوريتا
flick,f,english,0.06,نقرة
flip,m,english,1.15,يواجه
flo,f,english,0,فلو
floella,f,english (modern),0,فلويلا
flora,f,"english, german, italian, roman mythology",0.76,النباتية
florence,"f,m","english, french",9.68,فلورنسا
florencio,m,"spanish, portuguese",0,فلورنسيو
florentin,m,french,0.8,فلورنتين
florentina,f,"italian, english, ancient roman",0,فلورنتينا
floretta,f,,0,فلوريتا
florette,f,french,0,فلوريت
florian,m,"german, polish, french",1.31,فلوريان
floriana,f,italian,0,فلوريانا
florianne,f,french,0,فلوريان
floriano,m,italian,0,فلوريانو
florin,m,romanian,0.38,فلورين
florinda,f,english,1.85,فلوريندا
florine,f,,0.06,فلورين
floris,m,dutch,0.1,فلوريس
florrie,f,english,0,فلوري
florry,m,irish,0,فلورري
flossie,f,english,0.03,فلوسي
flower,f,english,0.1,ورد
floyd,m,english,0.13,فلويد
flurry,m,irish,0,موجة
foka,m,russian,1.02,فوكا
folami,m,african,0,فولامي
folant,m,welsh,0,مفصل
folke,m,scandinavian,0.03,folke
foma,m,russian,0,فوما
fonsie,m,,0,فونيس
forbes,m,scottish,0.48,فوربس
ford,m,english,2.9,معقل
forest,m,english,0.32,غابة
forrest,m,english,0.03,فورست
fortunata,f,"italian, spanish, portuguese, ancient roman",0,Fortunata
fortunato,m,"italian, spanish, portuguese",0.03,fortunato
fortune,f,english,35.39,حظ
foster,m,english,0.38,عزز
fotis,m,greek,0,فوتيس
fouad,m,arabic,0,فود
fox,m,english,2.71,الثعلب
fran,f,english,0.13,فران
franc,m,slovene,18.6,فرنك
franca,f,italian,0.03,فرانكا
france,m,english,394.52,فرنسا
francene,f,english,0,فرانسين
frances,f,english,0.13,فرانسيس
francesca,f,italian,1.08,فرانشيسكا
francesco,m,italian,0.99,فرانشيسكو
franci,f,hungarian,0,فرانسي
francine,f,"french, english",5.42,فرانسين
francis,"m,f",english,14.24,فرانسيس
francisca,f,"spanish, portuguese",0,فرانسيسكا
francisco,m,"spanish, portuguese",3.73,فرانسيسكو
franciscus,m,late roman,0.19,فرانسيسكوس
franciska,f,"hungarian, slovene",0,فرانسيسكا
franck,m,french,11.82,فرانك
franco,m,italian,10.9,فرانكو
françois,m,french,30.46,فرانسوا
françoise,f,french,20.13,فرانسوا
frang,m,scottish,0,فرانغ
frangag,f,scottish,0,فرانغاج
frank,m,english,2.61,صريح
frankie,"m,f",english,0.1,فرانكي
franklin,m,english,2.58,فرانكلين
franklyn,m,english,0,فرانكلين
frannie,f,english,0,فراني
frans,m,"dutch, scandinavian",0.03,فرانس
franseza,f,breton,0,فرانسيزا
frantisek,m,czech,0,Frantisek
frantiska,f,czech,0,Frantiska
franz,m,german,3.22,فرانز
franziska,f,german,0,فرانزيسكا
fraser,m,"scottish, english",0.35,فريزر
frauke,f,german,0,Frauke
fravardin,m,,0,فرافاردين
frazier,m,"scottish, english",0,فريزر
frea,f,,0,فرا
fred,m,english,9.37,فريد
freda,f,"jewish, english",0,فريدا
freddie,"m,f",english,0.03,فريدي
freddy,m,english,1.05,فريدي
frédéric,m,french,7.65,فريديريك
frederica,f,"english, portuguese",0,فريديريكا
frederick,m,english,0.06,فريدريك
frederico,m,portuguese,0.06,فريدريكو
frederik,m,danish,0.03,فريدريك
frederikke,f,danish,0,فريدريك
frédérique,f,french,5.8,فريديريك
fredo,m,italian,1.88,فريدو
fredrick,m,english,0,فريدريك
fredrik,m,swedish,0,فريدريك
freek,m,dutch,0,Freek
freeman,m,english,0.03,رجل حر
freja,f,swedish,0,فريجا
frey,m,norse mythology,0.1,فراي
freya,f,norse mythology,0,فريا
freyde,f,jewish,0,فريد
freyr,m,norse mythology,0,فراير
frida,f,"swedish, hungarian",0.16,فريدا
frideswide,f,anglo-saxon,0,حركي
fridrik,m,hungarian,0,فريدريك
fridtjof,m,scandinavian,0,fridtjof
frieda,f,english,0.1,فريدا
friede,f,german,0,فريد
friedemann,m,german,0,فريدمان
friederike,f,german,0,فريدريك
friedhelm,m,german,0,فريدهلم
friedhold,m,german,0,friedhold
friedrich,m,german,1.37,فريدريش
frigg,f,norse mythology,0,فريغ
frigyes,m,hungarian,0,فريجيس
fríða,f,icelandic,0,فريا
friðrika,f,icelandic,0,فريريكا
fritjof,m,scandinavian,0,فريتجوف
fritz,m,german,3.12,فريتز
fritzi,f,german,0.03,فريتزي
frode,m,"danish, norwegian",0,الهزف
fruma,f,jewish,0,فروما
fryderyk,m,polish,0,فريدريك
fu,m,chinese,0.13,فو
fuad,m,arabic,0,فود
fulbert,m,,0,فولبرت
fulgencio,m,spanish,0,فولجينسيو
fulgenzio,m,italian,0,فولجينزيو
fulk,m,english,0,فولك
fulke,m,english,0,فولك
fülöp,m,hungarian,0,فولو
fulton,m,english,0.86,فولتون
fulvia,f,"italian, ancient roman",0,فولفيا
fulvio,m,italian,0.06,فولفيو
fyfe,m,scottish,0,fyfe
fyodor,m,russian,0,Fyodor
gabby,"m,f",english,0,غابي
gabe,m,english,0.03,جابي
gabi,m,"hungarian, romanian",0,غابي
gabino,m,spanish,0,غابينو
gabir,m,arabic,0,غابر
gábor,m,hungarian,0,جاسور
gabr,m,arabic,0,غبر
